"銘柄","銘柄コード","CSVのURL"
"ひふみ投信","JP90C0005U71","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C0005U71&associFundCd=9C31108A"
"ｎｅｔＷＩＮ　ＧＳテクノロジー株式ファンドＢコース（為替ヘッジなし）","JP90C0000Y15","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C0000Y15&associFundCd=3531299B"
"ティー・ロウ・プライス世界厳選成長株式ファンド（為替ヘッジなし、資産成長型）","JP90C000HPB5","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C000HPB5&associFundCd=AW313195"
"ティー・ロウ・プライス世界厳選成長株式ファンド（為替ヘッジなし、分配重視型）","JP90C000HPD1","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C000HPD1&associFundCd=AW315195"
"ニッセイＳＤＧｓグローバルセレクトファンド（年２回決算型・為替ヘッジなし）","JP90C000GFJ1","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C000GFJ1&associFundCd=29319185"
"ニッセイＳＤＧｓグローバルセレクトファンド（資産成長型・為替ヘッジなし）","JP90C000GFL7","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C000GFL7&associFundCd=2931B185"
"ｅＭＡＸＩＳ Ｓｌｉｍ 米国株式（Ｓ＆Ｐ５００）","JP90C000GKC6","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C000GKC6&associFundCd=03311187"
"イノベーティブ・カーボンニュートラル戦略ファンド","JP90C000LMH1","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C000LMH1&associFundCd=79312213"
"フィデリティ・世界割安成長株投信（テンバガーハンター）為替ヘッジなし","JP90C000JW79","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C000JW79&associFundCd=32312203"
"フィデリティ・世界割安成長株投信（テンバガーハンター）毎月決算型","JP90C000MMG1","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C000MMG1&associFundCd=3231221B"
"ひふみワールド","JP90C000J957","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C000J957&associFundCd=9C31119A"
"ｅＭＡＸＩＳ Ｓｌｉｍ 全世界株式（オール・カントリー）","JP90C000H1T1","https://toushin-lib.fwg.ne.jp/FdsWeb/FDST030000/csv-file-download?isinCd=JP90C000H1T1&associFundCd=0331418A"
